problem_id,submission_id_v0,speedup,p_value_0.05pct,run
p03371,s504204235,2.4473905741860635,1.0092286927613977e-26,0
p03162,s443943241,4.064856637788672,1.5728777158867306e-49,0
p02767,s988075401,3.935251166,1.003448104409803e-27,0
p03038,s890208193,1.1366780792981506,1.0484874222933104e-16,0
p03325,s470797111,4.7409038890499104,4.437792967745632e-27,0
p03078,s321808897,1.1273023124872439,1.2915484110417022e-16,0
p02886,s933480835,4.290522719503516,8.535396354020718e-36,0
p02994,s517208919,4.266699694971756,2.2609289129122845e-28,0
p03254,s707896844,4.703847570129356,3.624351160058443e-29,0
p03416,s130057185,1.078713583944784,3.1667921163677544e-14,0
p03494,s829872247,1.0752633962803475,5.8278718456444574e-18,0
p01438,s057521298,1.123265137,2.8096667080270326e-22,0
p03208,s260498412,1.086257277154523,1.934241813813712e-13,0
p02863,s340691380,1.120335738944148,1.7973467098981952e-14,0
p02647,s947547146,4.392377707130101,1.8100554099156081e-22,0
p02792,s118732898,4.106242857776124,1.0658958312591126e-29,0
p03241,s205255104,1.1330477536245274,3.343035162453348e-19,0
p03162,s314983266,1.1205858730727927,1.0193052913538118e-17,0
p02959,s872669573,1.173918051596662,1.2763531092316774e-20,0
p03164,s478711084,1.1066190403570513,4.064868194916826e-17,0
p03720,s487647415,4.031900341143171,8.536406220245031e-28,0
p03371,s203363465,1.1169749905707493,2.4213129688196314e-22,0
p03000,s091839409,1.113722809793894,1.3228896108744332e-18,0
p00053,s978814614,1.7300860650070924,4.189161302092491e-24,0
p02596,s961921352,1.1093059452213476,7.796724316508009e-17,0
p03371,s501790970,1.118657289159385,1.5853100415563034e-24,0
p03796,s155084707,2.070811871083175,9.671007961839814e-27,0
p03494,s709803197,4.115794269791493,4.3646278626774524e-33,0
p03796,s280545626,1.115249714459656,1.9977007242109528e-12,0
p03371,s264866690,1.0684934267457225,1.2428947996558451e-14,0
p02700,s232689719,1.1494488469996267,1.0609388186866108e-24,0
p02772,s819852741,4.122053466689917,2.535768550803281e-52,0
p02688,s916854343,4.355291039633534,1.8425037223276957e-39,0
p03579,s986959512,1.1136522897900027,3.0975253871745487e-19,0
p03200,s951894178,1.1495941131889416,1.0313347392475183e-23,0
p03416,s986292698,1.125002513828289,4.548429761264713e-21,0
p03371,s950527789,2.6073937352624172,9.271789740298766e-33,0
p03796,s127994042,2.079164043,6.206510531090305e-42,0
p03796,s015060265,1.1800493985895326,3.7759167433248192e-28,0
p03371,s167074309,3.957861026323273,5.826600154825078e-31,0
p03796,s922366861,1.1151832699354394,2.0895084308673696e-22,0
p02983,s922780742,1.103833506615058,7.052481387646344e-19,0
p03416,s339057919,1.297964324,4.188949334573672e-22,0
p03078,s323914382,1.4428203583041708,1.0207729866116695e-33,0
p03371,s681762997,1.092834389196373,2.2508021885860495e-11,0
p02881,s837964487,3.949591488171713,9.768998727980304e-23,0
p03774,s225721289,4.285065611504271,4.726655517885219e-15,0
p02555,s319738471,1.1936766031075077,6.92495215508144e-23,0
p02555,s264986040,1.1970316932073732,1.243403762554474e-28,0
p02772,s645978955,4.245461801989251,3.682299196663486e-26,0
p02767,s320006452,1.3328535599242597,7.533171177693899e-26,0
p02916,s992896151,4.837994836920392,2.3614156942161074e-14,0
p03013,s455496434,4.188955492306464,6.7283998395711815e-28,0
p03796,s262574211,1.829870050353442,2.891457712038096e-42,0
p02596,s146225899,1.1682163506671253,2.167658635262442e-24,0
p00053,s391855332,1.700416050588092,2.3483055503875158e-42,0
p03494,s321227388,3.9652893989386464,1.008689294029632e-41,0
p02994,s512634929,1.095990669,4.1258214645406445e-13,0
p03416,s642708796,1.0996998799312638,2.7233292283380074e-18,0
p03796,s258128729,1.079474529254846,3.1608935935056604e-21,0
p03796,s637972642,1.103052808954274,1.0231064811250129e-16,0
p03371,s504204235,3.2877009676346223,5.905375252171751e-25,1
p03013,s757552767,4.415595778431402,1.8745692482929272e-27,1
p02952,s923935687,1.062081116007718,8.783551355790743e-12,1
p03162,s443943241,4.863489499976181,1.0186524377197444e-28,1
p02767,s988075401,4.483532258313911,1.292959831924051e-30,1
p03796,s983655328,2.2184470620810357,7.53310553713116e-25,1
p02886,s933480835,5.174565870001968,1.3391928332400212e-50,1
p02994,s517208919,4.203246421878892,1.3924515366161127e-29,1
p03494,s829872247,4.534240658041581,8.462415255299245e-34,1
p03250,s114284602,4.586349989087921,6.2343636647008365e-28,1
p01438,s057521298,1.0731100804763491,1.2729882258610192e-14,1
p02767,s418768557,4.197977543481355,2.9998708697921774e-32,1
p02780,s803345472,1.2217787962236364,1.331882071031278e-27,1
p03039,s835548762,1.633912049305216,1.258357335587225e-38,1
p03162,s314983266,4.917287574145493,2.8155488297712034e-33,1
p02412,s343999289,1.2497329834130197,1.707683020498111e-34,1
p03037,s661845965,1.1342249342461876,1.4553817865586833e-25,1
p02596,s961921352,1.1675732662144966,4.910543335901169e-27,1
p03796,s155084707,2.3475554385521926,6.034011407719713e-30,1
p03796,s280545626,1.114550308443124,4.1861149785960875e-28,1
p03060,s481970450,4.301629464518079,1.6604602323493284e-31,1
p02394,s949778573,1.1517722232546868,6.684365544042039e-28,1
p02772,s819852741,4.845739233125003,3.2989240116594125e-33,1
p03309,s609480946,4.326858126510681,2.018583762725326e-27,1
p02881,s987616882,1.2428192464779706,4.371146977442018e-25,1
p03494,s252753387,1.0700342448054188,2.0039614945453423e-11,1
p02883,s662154758,4.576242495592591,4.753082050671441e-33,1
p03434,s569031277,4.27464163,4.7383323155833996e-35,1
p02983,s509898718,5.275006922390332,9.571733078544053e-30,1
p02983,s271837395,1.3717081055642557,1.9175755255242886e-24,1
p03796,s015060265,2.6413089653836996,2.954569012457917e-39,1
p03371,s272710522,1.0709048845479818,4.609707318496251e-14,1
p03000,s539723186,4.304618889880574,3.341033278676023e-30,1
p02994,s833148158,4.266669200687385,5.434554586957324e-29,1
p03796,s922366861,2.0620042680523327,2.332735643165509e-35,1
p02983,s922780742,4.349269818370218,4.829715515130863e-30,1
p03416,s339057919,1.3258053616536327,1.3778952631821632e-25,1
p02555,s871406737,1.1238631434040016,4.0748893479027473e-17,1
p02881,s806961932,1.1032696033923528,2.847949260421874e-16,1
p02994,s647144203,4.611498626855728,2.0712471735527296e-27,1
p03608,s000797516,1.1824938609622289,4.9195293910338266e-27,1
p02615,s106486265,4.621413826498572,3.5340265671457556e-31,1
p03752,s912626788,4.320488902252345,4.995685628676902e-26,1
p02772,s645978955,4.318160012748783,1.1422381377250623e-38,1
p03172,s523132470,1.4880258698165847,4.264951830316459e-28,1
p02916,s992896151,4.442860705137326,6.239786162265563e-36,1
p03806,s948329967,1.4898538647262238,2.687759046357737e-22,1
p03796,s262574211,2.4146680081504304,3.6180417267311123e-38,1
p00053,s391855332,4.623660854140874,1.3308449114296972e-27,1
p03494,s321227388,4.764285925943287,3.9169923314874317e-29,1
p03162,s320395863,4.947693327020364,2.3535322386127665e-32,1
p03796,s258128729,2.1036201234787852,3.3990900564417105e-40,1
p03013,s757552767,4.392680908395967,1.065597561857668e-28,2
p02952,s923935687,1.0870593395514296,3.0897395723963107e-21,2
p03162,s443943241,4.431854923,1.4157286748791657e-28,2
p03038,s890208193,1.4048294558448169,7.531544386407892e-32,2
p03796,s983655328,2.2722931185748014,8.623970991339435e-30,2
p02883,s516001124,1.2118615230455614,6.650336741885758e-32,2
p02886,s933480835,4.313046403945992,7.196758031695685e-31,2
p02994,s517208919,4.582577375866111,3.8288054790028354e-26,2
p02555,s706729835,1.2984133251429444,1.000162283315114e-27,2
p03250,s114284602,4.799932230033938,3.2366903782056476e-31,2
p03039,s835548762,1.6044172739304023,2.4988742878418798e-29,2
p02596,s961921352,1.196553913831601,4.615785131796766e-25,2
p03796,s155084707,1.8627909166424743,3.110042780393989e-32,2
p03845,s045706452,1.0690430083537883,3.430708528215676e-14,2
p02700,s232689719,1.1541444607799762,2.671143511169132e-23,2
p03060,s481970450,4.355247615627514,2.7826590070949456e-29,2
p02883,s662154758,4.800658052722327,1.615403252884403e-28,2
p03434,s569031277,4.343908681170705,5.8185884775807895e-25,2
p02983,s509898718,4.673761563081892,5.016478709030496e-27,2
p03796,s234232673,1.072017011431705,7.609166325762654e-14,2
p03796,s127994042,2.049388875649497,2.5277674189914376e-27,2
p03371,s272710522,1.2535137623952672,5.33804081889135e-30,2
p03796,s922366861,2.0247260101236875,3.3664655723938665e-23,2
p02983,s922780742,4.2990699039723905,9.869577913451853e-32,2
p03416,s339057919,1.3341035437783764,2.3226697790948883e-24,2
p02837,s559335403,1.0695461516951423,1.0264352853538715e-13,2
p02881,s806961932,1.2102782815417241,5.1130605009500484e-34,2
p02994,s647144203,4.662741802084989,4.553833735807176e-35,2
p03752,s912626788,4.3751224009149565,6.324623331934142e-32,2
p02916,s992896151,4.279731095147841,5.292967035160133e-26,2
p03835,s871403539,1.0893271301802279,1.7887540569581173e-21,2
p03806,s948329967,1.5453658354109572,4.209513160002097e-24,2
p03796,s262574211,2.3650351936990353,3.955000157766791e-30,2
p00053,s391855332,4.3339571394584135,3.7091951267391876e-30,2
p03494,s321227388,4.5878917046741154,6.057958490921004e-29,2
p03162,s595235842,1.194245174752155,3.4872015392727423e-31,2
p03720,s310815601,1.1060647633102842,1.3807854662062038e-25,2
p03796,s258128729,2.0718038185920147,4.518388344977836e-36,2
p03013,s757552767,4.483450287599615,5.437584557662961e-25,3
p03039,s732762289,1.1254151321947914,5.097515293567006e-27,3
p03835,s859897716,1.1421126424688024,1.4954224177284604e-27,3
p03796,s983655328,2.152098974118473,2.9640830055786367e-30,3
p02886,s933480835,4.396639773328986,9.616747665529611e-34,3
p02994,s517208919,4.312758486644638,6.422351739803093e-44,3
p02555,s706729835,1.328914608761513,2.0016427294025474e-24,3
p03250,s114284602,4.472949985380486,2.2951894597218912e-23,3
p03039,s835548762,1.6879695927192337,1.8537695752637135e-40,3
p03457,s956976175,1.2086732548056944,3.9456247322107597e-26,3
p03796,s155084707,2.470566698078089,1.2024533091765692e-29,3
p02700,s232689719,1.0598719704119404,1.8484123661985164e-10,3
p03060,s481970450,4.388001447904512,7.756813565949841e-27,3
p03494,s252753387,1.074198640605041,6.550898969291973e-14,3
p02883,s662154758,4.513107011,8.098573780584442e-29,3
p03434,s569031277,4.325077105214845,7.80545727329167e-27,3
p02983,s509898718,4.343988806,1.0765805032155344e-34,3
p03796,s234232673,1.2045544864510829,2.0161530684480715e-22,3
p03796,s127994042,2.308381630217232,1.4364017193182669e-27,3
p03796,s015060265,2.279594244364948,1.5317757061709435e-30,3
p03796,s922366861,2.054712163334851,5.391737608627979e-24,3
p02983,s922780742,4.641135478462658,1.950785701292452e-30,3
p03416,s339057919,1.169972944977025,9.114910667817864e-26,3
p03078,s323914382,1.0935061815764615,3.287763207741502e-18,3
p03559,s912886810,1.114008828357595,4.96546016338768e-25,3
p02881,s806961932,1.0725491433910164,3.936200908543216e-15,3
p02555,s264986040,1.159348391454487,2.255858768325211e-19,3
p03752,s912626788,4.205117451999538,5.066027753701367e-25,3
p02916,s992896151,4.357172018499544,2.7384108180647847e-42,3
p00053,s391855332,4.636460933715933,3.1927303052336097e-35,3
p03494,s321227388,4.365785018100856,9.24141772269611e-29,3
p02899,s948462743,1.099670082042102,1.1790042038672612e-17,3
p03796,s258128729,1.8382902023655225,2.46014572876108e-38,3
